Date,Post ID,Post Type,Caption,Likes,Comments,Shares,Saves,Reach,Impressions,Followers
2026-08-01,17982341,Reel,"Morning skincare routine with our botanical serum ✨💧 #cleanbeauty #organicskincare",1420,184,312,490,18500,24200,12450
2026-08-03,17982342,Photo,"Behind the scenes: Handcrafted small batches in our lab 🌿",640,42,28,95,7200,9400,12510
2026-08-06,17982343,Carousel,"5 ingredients to avoid if you have sensitive skin (Save this for later!) 👉",2150,295,640,1120,26400,34500,12680
2026-08-09,17982344,Reel,"Customer review spotlight: 'My skin transformed in 14 days' 🥰",1180,98,145,260,14300,19100,12740
2026-08-12,17982345,Photo,"Golden hour hydration spray ☀️ Keep your skin refreshed all day.",780,56,41,130,8100,10500,12820
2026-08-15,17982346,Carousel,"The ultimate guide to double cleansing: Step by step breakdown",1890,210,480,890,21800,28900,12990
2026-08-18,17982347,Reel,"POV: Packing orders on launch day! Thank you all for the love 📦❤️",3240,410,780,620,38500,49000,13280
2026-08-21,17982348,Photo,"Meet our founders: Why we decided to eliminate synthetic fragrances",920,88,64,180,9400,12100,13360
2026-08-24,17982349,Reel,"Which mask is best for your skin type? Clay vs Gel vs Sheet 🧖‍♀️",1650,175,390,510,19700,26000,13510
2026-08-27,17982350,Carousel,"Mythbusting: Does drinking more water cure dry skin? Let's talk science",1410,162,310,440,16800,22400,13620
2026-08-29,17982351,Photo,"Sunday self-care ritual essentials 🕯️🛁",810,61,35,115,8600,11200,13700
2026-08-31,17982352,Reel,"FLASH SALE: 20% off all bundles this weekend only! Use code GLOW20 ⚡",2890,340,590,780,34200,44800,13920
